,Average Score,Home
120,227.0,New Zealand A
225,217.0,Baluchistan
214,214.0,India A
99,198.5,Northerns (Zimbabwe)
219,190.0,Port Qasim Authority
193,189.0,Pakistan A
237,185.0,Karachi Region Blues
241,182.66666666666666,Abbottabad Region
168,181.42857142857142,Brisbane Heat
21,180.33333333333334,Somerset
261,179.0,Lahore Qalandars
231,178.2,St Kitts and Nevis Patriots
238,175.0,Hyderabad Region
164,174.72727272727272,Hobart Hurricanes
40,174.0,Police Sports Club
123,174.0,Australia A
172,172.66666666666666,Dhaka Gladiators
91,172.0,Tamil Nadu
221,172.0,Abahani Limited
65,170.14285714285714,Queensland
243,170.0,Peshawar Region
265,170.0,Trinbago Knight Riders
64,169.875,Western Australia
266,169.5,Karachi Blues
109,169.25,Kings XI Punjab
239,169.0,Lahore Region Whites
229,169.0,Sialkot Stallions
69,169.0,Otago
159,168.88888888888889,North West
174,168.8,Khulna Royal Bengals
198,168.5,Dhaka Metropolis
8,168.41176470588235,Nottinghamshire
3,168.05882352941177,Worcestershire
46,167.41666666666666,Victoria
108,167.34426229508196,Chennai Super Kings
16,167.3409090909091,Essex
111,166.9090909090909,Mumbai Indians
70,166.35294117647058,Wellington
161,166.0,Bangladesh A
68,165.9090909090909,Central Districts
33,165.07692307692307,Lahore Eagles
223,165.0,Western Troopers
53,165.0,Abbottabad Rhinos
134,164.33333333333334,Hyderabad (India)
49,164.25714285714287,Auckland
110,163.95744680851064,Royal Challengers Bangalore
116,163.66666666666666,Rawalpindi Rams
67,163.375,South Australia
163,163.11111111111111,Adelaide Strikers
13,163.0810810810811,Northamptonshire
240,163.0,Sialkot Region
270,162.66666666666666,Lahore Whites
274,162.5,Chittagong Vikings
244,162.33333333333334,Northern Cape
48,161.9,Canterbury
1,161.79591836734693,Hampshire
25,161.75,Colombo Cricket Club
118,161.52941176470588,Sri Lanka
66,161.28571428571428,Tasmania
200,161.0,Zimbabwe
269,161.0,Karachi Whites
263,161.0,Gujarat Lions
165,160.75,Sydney Thunder
104,160.625,Basnahira South
5,160.32432432432432,Yorkshire
54,160.28571428571428,Hyderabad Hawks
182,160.0,Zimbabwe XI
62,159.875,Northern Districts
14,159.6,Warwickshire
29,159.55555555555554,Nondescripts Cricket Club
34,159.52631578947367,Lahore Lions
52,159.5185185185185,South Africa
0,159.14285714285714,Durham
35,159.11111111111111,Karachi Zebras
171,159.1,Chittagong Kings
224,159.0,Udarata Rulers
129,158.85714285714286,Mountaineers
131,158.2941176470588,Mashonaland Eagles
44,158.25,Sinhalese Sports Club
148,158.0,Namibia
208,158.0,Uthura Yellows
166,157.94117647058823,Perth Scorchers
36,157.76470588235293,England
248,157.75,Barisal Bulls
6,157.575,Kent
26,157.55555555555554,Colts Cricket Club
45,157.54545454545453,Australia
162,157.54545454545453,Sydney Sixers
9,157.33333333333334,Sussex
19,157.17857142857142,Dolphins
180,156.8181818181818,Knights
30,156.8108108108108,Lions
105,156.4375,Delhi Daredevils
107,156.4102564102564,Rajasthan Royals
7,156.27027027027026,Leicestershire
11,156.15384615384616,Lancashire
190,156.0,Uthura Rudras
256,156.0,Kandy Crusaders
147,156.0,Combined Provinces
188,156.0,Wayamba United
2,155.7906976744186,Surrey
24,155.75,Chilaw Marians Cricket Club
18,155.725,Titans
38,155.625,Tamil Union Cricket and Athletic Club
51,155.15384615384616,Cape Cobras
189,155.0,Kandurata Warriors
39,155.0,Badureliya Sports Club
252,155.0,Colombo Commandos
86,154.9,Goa
79,154.76,Bengal
170,154.72727272727272,Barisal Burners
4,154.63636363636363,Gloucestershire
234,154.6,Bahawalpur Region
257,154.5,Karachi Kings
50,154.34615384615384,New Zealand
84,154.0,Mumbai
122,153.92307692307693,Deccan Chargers
74,153.84615384615384,Gujarat
211,153.8181818181818,Trinidad & Tobago Red Steel
15,153.7741935483871,Glamorgan
12,153.7037037037037,Middlesex
130,153.42857142857142,Mid West Rhinos
92,153.42105263157896,Pakistan
96,153.0,Antigua and Barbuda
82,152.45454545454547,Rajasthan
20,152.08333333333334,Eagles
213,151.8125,Jamaica Tallawahs
150,151.5,Western Province
88,151.14285714285714,Uttar Pradesh
272,151.0,Islamabad
144,151.0,Pune Warriors
154,150.9,Free State
169,150.86666666666667,Melbourne Stars
41,150.625,Ragama Cricket Club
102,150.625,Ruhuna
10,150.47619047619048,Derbyshire
106,150.42857142857142,Kolkata Knight Riders
260,149.85714285714286,Islamabad United
32,149.58620689655172,Faisalabad Wolves
177,149.5,Bermuda
173,149.4,Duronto Rajshahi
250,149.33333333333334,England Lions
201,149.1764705882353,Sunrisers Hyderabad
191,149.16666666666666,Bahawalpur Stags
222,149.0,Prime Bank Cricket Club
85,148.71428571428572,Baroda
149,148.33333333333334,Easterns
93,148.1818181818182,India
27,148.0,Kurunegala Youth Cricket Club
127,147.8780487804878,Afghanistan
227,147.83333333333334,St Lucia Zouks
209,147.6153846153846,Barbados Tridents
242,147.5,Multan Region
264,147.0,Rising Pune Supergiants
151,146.57142857142858,Boland
195,146.5,Odisha
59,146.0,Antigua
56,146.0,Peshawar Panthers
259,146.0,Quetta Gladiators
124,146.0,Kenya
226,146.0,Khyber Pakhtunkhwa
80,145.93939393939394,Delhi
143,145.45454545454547,Kerala
254,145.33333333333334,Galle Guardians
63,145.13333333333333,Bangladesh
31,145.0857142857143,Warriors
187,145.0,Ruhuna Royals
258,145.0,Peshawar Zalmi
133,144.875,Maharashtra
28,144.85714285714286,Moors Sports Club
112,144.78571428571428,West Indies
98,144.25,Easterns (Zimbabwe)
251,144.0,Saurashtra
255,143.5,Kurunegala Warriors
76,143.3181818181818,Madhya Pradesh
216,143.0,Pakistan Television
37,143.0,Sri Lanka Air Force Sports Club
71,142.5,Saracens Sports Club
138,142.2,Trinidad & Tobago
167,142.0,Melbourne Renegades
233,142.0,Larkana Region
101,141.66666666666666,Kandurata
146,141.66666666666666,Basnahira
115,141.07692307692307,Netherlands
78,140.92307692307693,Railways
77,140.66666666666666,Orissa
125,140.6,Scotland
126,140.375,Sri Lanka A
141,140.33333333333334,Matabeleland Tuskers
271,140.0,Peshawar
228,140.0,FATA Cheetas
119,140.0,Stanford Superstars
202,139.75,Pakistan International Airlines
60,139.57142857142858,Guyana
267,139.5,Federally Administered Tribal Areas
139,139.45454545454547,Abbottabad Falcons
203,139.4,Habib Bank Limited
128,139.08333333333334,United Arab Emirates
132,139.0,Assam
206,139.0,Basnahira Greens
43,139.0,Sebastianites Cricket and Athletic Club
247,138.85714285714286,Comilla Victorians
246,138.8,Dhaka Dynamites
155,138.44444444444446,Griqualand West
87,138.23076923076923,Himachal Pradesh
81,138.15,Haryana
245,137.88888888888889,Rangpur Riders
47,137.5,New South Wales
158,137.25,KwaZulu-Natal Inland
156,137.2,KwaZulu-Natal
186,136.5,Uva Next
210,136.06666666666666,Guyana Amazon Warriors
268,136.0,Lahore Blues
197,135.7,Border
55,135.33333333333334,Islamabad Leopards
157,135.11111111111111,Gauteng
153,135.0,Eastern Province
142,134.5,Combined Campuses and Colleges
75,134.33333333333334,Karnataka
137,134.0,Khulna Division
184,134.0,Nagenahira Nagas
73,133.66666666666666,Panadura Sports Club
160,133.6,South Western Districts
114,133.58333333333334,Canada
273,133.0,Khulna Titans
253,132.5,Hambantota Troopers
23,132.4,Burgher Recreation Club
117,132.125,Multan Tigers
179,132.0,Nepal
183,132.0,Bangladesh XI
207,132.0,Kandurata Maroons
90,131.8,Punjab
121,131.75,Wayamba
205,131.66666666666666,Khan Research Labs
215,131.66666666666666,Khan Research Laboratories
199,131.0,Rajshahi Division
89,130.9,Jharkhand
83,130.69230769230768,Andhra
175,130.2,Italy
135,130.0,Dhaka Division
220,130.0,Mohammedan Sporting Club
178,129.66666666666666,Hong Kong
145,129.66666666666666,Kochi Tuskers Kerala
152,129.5,Northerns
204,129.33333333333334,State Bank of Pakistan
113,129.08,Ireland
185,129.0,Basnahira Cricket Dundee
72,128.5,Sri Lanka Army
262,127.0,North Island
103,126.0,Basnahira North
194,126.0,Sylhet Royals
235,125.5,Lahore Region Blues
22,124.16666666666667,Bloomfield Cricket and Athletic Club
176,124.0,Uganda
236,123.0,Azad Jammu & Kashmir Region
140,122.6,West Indies A
192,122.0,Southern Rocks
61,122.0,Grenada
95,120.84615384615384,Barbados
136,118.0,Barisal Division
97,117.36363636363636,Jamaica
100,117.0,Centrals
230,117.0,Sri Lanka Ports Authority Cricket Club
17,116.0,Eastern Cape
249,112.0,Sylhet Super Stars
196,109.0,Services
232,107.0,Jersey
212,106.0,Antigua Hawksbills
57,104.0,Nevis
58,96.0,St Vincent
181,93.0,Lankan Cricket Club
218,81.0,National Bank of Pakistan
94,70.0,Montserrat
217,66.0,Sui Northern Gas Pipelines Limited
42,,Galle Cricket Club
